25205,0,648
25222,0,649
25238,0,649
25255,0,648
25272,0,648
25289,0,648
25305,0,648
25322,0,647
25337,0,647
25355,1,648
25372,1,648
25389,1,648
25405,1,648
25422,0,648
25438,0,648
25455,0,648
25472,0,648
25489,0,648
25505,0,648
25522,0,648
25538,0,648
25555,0,648
25572,0,648
25588,3,648
25606,3,648
25622,0,648
25639,0,648
25655,0,648
25672,0,648
25688,0,648
25705,0,648
25721,0,648
25738,0,648
25754,0,649
25772,0,649
25788,2,649
25805,2,649
25822,6,648
25838,6,648
25855,0,648
25872,0,648
25888,0,648
25905,0,648
25922,0,648
25938,0,648
25955,3,648
25972,3,648
25988,0,648
26005,0,648
26021,1,648
26038,1,648
26055,4,648
26072,4,648
26089,8,648
26105,8,648
26122,5,648
26139,5,648
26155,11,648
26172,11,648
26189,0,648
26206,0,648
26221,4,648
26239,4,648
26255,0,649
26271,0,649
26289,1,648
26305,1,648
26322,1,647
26338,1,647
26355,4,648
26372,4,648
26389,1,647
26404,1,647
26422,5,648
26438,5,648
26455,0,648
26471,0,648
26488,4,648
26505,4,648
26522,0,648
26539,0,648
26556,9,649
26572,1023,649
26588,1023,649
26606,1023,649
26621,1023,649
26639,1023,649
26656,1023,650
26672,1023,650
26689,1023,649
26706,1023,650
26721,1023,650
26739,1023,650
26755,1023,650
26772,1023,650
26788,1023,649
26805,1023,649
26822,1023,650
26838,1023,650
26855,1023,649
26871,1023,649
26889,1022,650
26906,1023,649
26922,1023,649
26938,1023,649
26955,1023,649
26971,1023,649
26989,1023,649
27005,1023,649
27022,1023,649
27038,1023,649
27055,1023,649
27072,1023,650
27088,1023,650
27105,1023,649
27122,1023,649
27139,1023,649
27157,1023,649
27173,1023,650
27190,1023,650
27206,1023,650
27222,1023,650
27239,1023,649
27257,1023,649
27275,1023,649
27290,1023,649
27307,1023,649
27324,1023,649
27341,1023,650
27357,1023,650
27374,1023,650
27390,1023,650
27408,1023,650
27424,1023,650
27441,1023,650
27457,1023,650
27473,1023,649
27492,1023,649
27507,1023,650
27524,1023,650
27540,1023,649
27557,1023,649
27575,1023,649
27591,1023,649
27608,1023,649
27624,1023,649
27640,1023,650
27658,1023,650
27674,1023,650
27691,1023,650
27708,1023,649
27724,1023,649
27740,1023,650
27757,1023,650
27775,1023,650
27791,1023,650
27807,1023,649
27824,1023,649
27840,1023,650
27857,1023,650
27874,1023,649
27890,1023,649
27907,1023,650
27923,1023,650
27941,1023,649
27957,1023,649
27974,1023,649
27991,1023,649
28008,1023,650
28024,1023,650
28041,1023,650
28057,1023,650
28075,1023,649
28091,1023,649
28109,1023,650
28124,1023,650
